projection,dimensionality
0.9690374324957092,2
0.8291183754493305,2
0.3872440554104585,2
0.5847650959918016,2
0.0910747464259258,2
0.7862879487323448,2
0.20322880739614302,2
0.8404356125287433,2
0.6867325478032611,2
0.33060090250561674,2
0.4266055506123937,2
0.42042033200503487,2
0.22976758952984835,2
0.11355132699652126,2
0.49643604152920356,2
0.09451568989070305,2
0.38033866638452984,2
0.01983190095317476,2
0.477125370185551,2
0.6707031744388051,2
0.5399905030899105,2
0.7982334583723493,2
0.013528626002954723,2
0.895090810619189,2
0.8266005919349291,2
0.806459145803917,2
0.25272267755981764,2
0.851552501956898,2
0.337560235268548,2
0.2140717397469423,2
0.44838149144519696,2
0.9272300949612171,2
0.31147725679984517,2
0.8640661570989253,2
0.09685569000998266,2
0.04584341569402175,2
0.750266000062294,2
0.018136543283626246,2
0.5067269069059179,2
0.17131462734845038,2
0.036727505297606995,2
0.46282851427847843,2
0.5881402563093371,2
0.4071247736747834,2
0.49203495122041196,2
0.027962957115115563,2
0.1926855570839046,2
0.25129125376689404,2
0.27759321691166927,2
0.5278750613915693,2
0.06945081554799121,2
0.5166682767224624,2
0.6699255807604679,2
0.6344121897051096,2
0.3612873927087279,2
0.17360732847005908,2
0.4780914454901337,2
0.3653538033527137,2
0.7121372251606863,2
0.5494732093352644,2
0.6187487859277809,2
0.3678536031990658,2
0.09445502816824769,2
0.05101641142366041,2
0.28070827738770726,2
0.7056931810512695,2
0.7074631887927775,2
0.12778748363638107,2
0.1447531820081907,2
0.5542320089405744,2
0.8706875824452299,2
0.25765716225988444,2
0.1432056254667065,2
0.776703300776417,2
0.81140427351002,2
0.19194665481551554,2
0.3382053838627084,2
0.42773258855697277,2
0.033743568893493246,2
0.10128418860944319,2
0.32824595720838035,2
0.2720883890248919,2
0.26225965093297,2
0.43846224278875606,2
0.14521104997514045,2
0.49400967945513635,2
0.8532899194914216,2
0.05357679719781925,2
0.8616738493949772,2
0.37625684428660605,2
0.7588609412847722,2
0.6472159407235438,2
0.49948570015943133,2
0.6422460329398164,2
0.570222305657471,2
0.2662532183611047,2
0.70165517507223,2
0.6122513099375375,2
0.4095945397310381,2
0.8813585506646758,2
0.3028066212963602,2
0.31447473740227105,2
0.4981406887626578,2
0.22292890010721797,2
0.8239962669290202,2
0.22962249668460288,2
0.2341725754431764,2
0.645528546482309,2
0.7120038074004261,2
0.005191323015149882,2
0.3039487097480713,2
0.04980519560103348,2
0.0882224710862892,2
0.3788128306975257,2
0.9182462480776953,2
0.6812556690382137,2
0.3647614322956209,2
0.11318217020008943,2
0.5780182760591851,2
0.09656461499784744,2
0.5404051514835116,2
0.0886666216308635,2
0.49459082787867215,2
0.8890771112191955,2
0.7236815221498621,2
0.3822561437433689,2
0.8054123850716655,2
0.7638730256764654,2
0.9254103986393701,2
0.42283546062950383,2
0.005642567365397157,2
0.3170248346881954,2
0.5271039616375185,2
0.048294061163055194,2
0.15763384533958116,2
0.4915988317267217,2
0.4470841493616105,2
0.681545854244275,2
0.8741660005170198,2
0.05419485542377998,2
0.357095026111391,2
0.3374276776772869,2
0.1056036407435225,2
